"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31119","Verifier panier","firefox","2026-06-05","broken","2026-06-05","","panier.spec.ts","",""
"","30414","Ajout produit","chromium","2026-06-05","broken","2026-06-05","","boutique.spec.ts","",""
"","16801","ajout produit via admin","webkit","2026-06-05","passed","2026-06-05","","adminprodect.spec.ts","",""
"","30105","Verifier panier","webkit","2026-06-05","broken","2026-06-05","","panier.spec.ts","",""
"","15316","ajout produit via admin","firefox","2026-06-05","passed","2026-06-05","","adminprodect.spec.ts","",""
"","8125","ajout produit via admin","chromium","2026-06-05","passed","2026-06-05","","adminprodect.spec.ts","",""
"","30386","Verifier panier","chromium","2026-06-05","broken","2026-06-05","","panier.spec.ts","",""
"","32518","Ajout produit","firefox","2026-06-05","broken","2026-06-05","","boutique.spec.ts","",""
"","30104","Ajout produit","webkit","2026-06-05","broken","2026-06-05","","boutique.spec.ts","",""
